ACCOUNT_NAME,Sum_Sales,Date,QTY
"Amazon.com Services, Inc.",7938,03/02/2022,
"Bridgestone Retail Operations, LLC",5195,08/05/2020,
"Chick-fil-A, Inc.",4001,15/12/2016,
"Becton, Dickinson and Company",18182,28/12/2023,
"UBS Business Solutions AG, UK Branch",179022,20/12/2018,
"Amazon.com Services, Inc.",0,16/07/2018,
THE BOURNEMOUTH UNIVERSITY FOUNDATION,8155,13/06/2022,
Pfizer Inc.,9070,29/04/2020,
Bermuda Monetary Authority,4935,18/10/2020,
"FMI, Corp.",9941,22/12/2020,
National Hydraulic Research Institute of Malaysia (NAHRIM),16599,24/10/2023,
"Sylvamo North America, LLC",9922,30/11/2021,
HELSINN BIREX PHARMACEUTICALS LIMITED,3904,24/01/2023,
Celgene Corporation,7990,22/08/2018,
The World Bank Group,8995,23/02/2017,
Impact Analytics,4250,29/08/2016,
ARASHIMARU INC.,4526,31/05/2022,
Senior Care Partners Pace,4935,29/06/2023,
NEC SOFTWARE SOLUTIONS UK LIMITED,16320,20/08/2016,
VideoMining Corp,4989,20/06/2016,
MCGILL AND PARTNERS SERVICES LTD,7623,15/02/2022,
MOH Holdings Pte Ltd,15835,01/03/2020,
"Abiomed, Inc.",5195,19/12/2022,
Finning International Inc,6119,06/12/2021,
Lazzo AB,0,20/03/2023,
OR Technologies Sdn Bhd,2500,27/08/2018,
The Coca-Cola Company,10390,30/05/2024,
"Wideopenwest Networks, LLC",5168,07/10/2017,
"CCI Corporate Services, LLC",303738,20/12/2020,
Arctic Slope Regional Corporation,9445,01/04/2022,
Yanmar America,3896,21/10/2022,
"INVESCO GROUP SERVICES, INC.",8057,17/08/2018,
"JOHNSON AND JOHNSON HOLDINGS CO., LTD.",3117,05/04/2019,
Nottingham Trent University,5265,26/02/2024,
Commonwealth Bank of Australia,2455,15/03/2017,
Huntsman (Netherlands) B.V.,5844,20/03/2018,
"Montgomery Transport, LLC",94737,16/08/2022,
Erhvervsstyrelsen,9705,01/05/2020,
CVS Health Corporation,19400,07/11/2016,
Neo4j Sweden AB,4156,04/07/2018,
Army,0,01/09/2018,
"Staples, Inc.",14354,28/07/2016,
"VF Services, LLC",4416,30/08/2018,
Accruent LLC,4948,15/06/2021,
"BROOKS SPORTS, INC.",5694,13/12/2016,
Global Radio Holdings Ltd,3759,17/12/2018,
HUTCHISON 3G UK LIMITED,2700,19/12/2018,
"Apex Tool Group, LLC",5027,01/04/2021,
Vodafone GmbH,3995,26/10/2018,
24-7 Intouch,10910,23/07/2021,
"Lactalis Heritage Dairy, Inc.",13746,18/02/2024,
TRINITY ROOTS COMPANY LIMITED,2500,03/12/2018,
Inspirato LLC,2294,31/07/2020,
"Demand Science US, LLC",185942,21/12/2020,
STANDARD CHARTERED BANK - SG,4704,12/08/2019,
"FEDEX GROUND PACKAGE SYSTEM, INC.",4831,24/02/2021,
Mayo Foundation for Medical Education and Research,5195,16/04/2018,
Every Market Media,3995,01/07/2015,
The Vail Corporation,58500,30/09/2019,
Prodigious,4416,18/09/2020,
"Verizon Wireless, Inc.",219631,02/12/2021,
"Schrodinger, Inc.",19112,12/01/2024,
HUNGRY JACK'S AUSTRALIA PTY LTD,8511,01/05/2022,
United Utilities Water Ltd,6642,29/09/2023,
"Promise Healthcare, Inc.",8995,12/10/2018,
MELBOURNE & OLYMPIC PARKS TRUST,7109,01/05/2024,
Dallas Independent School District,8459,12/02/2019,
Essentra International Limited,10200,16/05/2016,
FORMICA LIMITED,7387,29/11/2019,
Ontario Teachers' Pension Plan Board,5638,01/10/2023,
Ekspres Bank,11267,02/11/2021,
Unilever Pakistan Limited,9180,27/09/2016,
Brainkind,10059,23/03/2023,
Kunde & CO,4874,14/02/2024,
BETWAY LIMITED GUERNSEY BRANCH,10387,02/12/2015,
Jollibee Foods Corporation (USA),84170,13/01/2024,
Fundaç?o Forluminas de Seguridade Social Forluz,2911,22/06/2020,
"Carronade Capital Management, Limited Partnership",7273,14/11/2022,
"Netflix, Inc.",66236,09/08/2019,
"Beijing Foton Daimler Automotive Co., Ltd.",3117,16/01/2020,
General Electric Company,1975,29/12/2017,
"W. L. Gore & Associates, Inc.",50392,29/01/2021,
Rolls-Royce Solutions GmbH,12988,01/04/2018,
Texas Rangers Baseball Club,11695,19/12/2017,
"J.BARBOUR & SONS,LIMITED",38523,06/03/2018,
DELOITTE UNLIMITED COMPANY,5837,14/06/2019,
"Cargill, Incorporated",0,29/09/2017,
Grant Thornton (Ireland),4583,21/11/2022,
Fidelity Investments,4961,18/03/2022,
Mountainseed Appraisal Management,5195,26/01/2024,
"Trinity Industries, Inc.",18203,30/03/2020,
NEXTCARE CLAIMS MANAGEMENT LLC,44158,30/06/2019,
Johnson & Johnson,3868,05/08/2017,
Votorantim Cimentos S/A,3109,16/12/2022,
The Walt Disney Company,4121,05/09/2020,
WPP PLC,3078,31/10/2019,
Vodafone Group Services Limited,44337,28/01/2023,
"Delta Air Lines, Inc.",8563,28/12/2015,
"United Community Banks, Inc.",9871,29/05/2023,
"Bridgestone Americas, Inc.",4676,07/06/2019,
Iss Facility Services SA,47326,01/01/2020,
Institut Straumann AG,0,23/09/2023,
FIDELITY BUSINESS SERVICES INDIA PRIVATE LIMITED,3637,24/10/2019,
NSW Department of Primary Industries,4089,05/06/2020,
C&S Wholesale Grocers LLC,0,09/06/2020,
"Real Estate Worldwide, LLC",3800,01/04/2018,
"SHISEIDO COMPANY, LIMITED",4156,20/12/2019,
HEMPEL PAINTS (POLAND) SP Z O O,16565,24/07/2023,
LAWFINANCE LIMITED,5675,29/06/2022,
Krauss Maffei Corporation,4779,24/10/2023,
General Electric Capital Corporation,4850,22/01/2019,
HMS Holdings Corp.,35096,13/11/2017,
Hartford Fire Insurance Company (inc),5167,01/02/2018,
Economic Development Alliance For Brazoria County,1295,14/03/2016,
The University of Edinburgh,5560,06/08/2018,
Master Merchant Systems Software Limited,25211,24/02/2017,
Transport for NSW,2616,08/02/2017,
"The Boston Consulting Group, Inc.",4000,06/03/2020,
"Core Scientific, Inc.",5195,29/08/2022,
SOCIETE GENERALE GLOBAL SOLUTION CENTRE SA,11085,31/12/2023,
CoreStats N.V.,2500,13/04/2018,
VIRGIN MEDIA LIMITED,3091,26/06/2020,
HID Global Corporation,15585,03/11/2022,
FLO Analytics Inc.,3995,29/01/2016,
"Gartner, Inc",3995,01/07/2017,
"Amcor Flexibles North America, Inc",0,11/06/2018,
"Radisson Hospitality, Inc",15249,25/01/2022,
Stanford University,4542,28/12/2019,
Media Broadcast Satellite GmbH,9754,02/04/2024,
Iron Mountain Inc.,9902,24/02/2021,
Vivento Innsikt AS,4378,01/01/2020,
Charter Communications Operating LLC,189500,29/11/2020,
Metrica Group NJ LLC,5195,06/02/2019,
HFR Index Administration,5091,09/02/2024,
Warner Music UK LTD,4937,22/11/2021,
CHEP ESPA?A SA,5485,12/05/2023,
Moody's Corporation,156279,26/10/2021,
Gates Corporation,86523,29/06/2019,
Stryker Corporation,7990,28/12/2019,
BEKO PLC,9320,02/12/2023,
Johnson & Johnson,19340,20/10/2017,
"Rplanet Earth Los Angeles Holdings, LLC",4676,01/11/2023,
Bank of Ireland Group,4670,06/01/2020,
Dansk Avis Omdeling A/S,4958,02/09/2023,
"CAP STYLE CO., LTD.",3146,01/11/2022,
STANDARD CHARTERED GLOBAL BUSINESS SERVICES SDN. BHD.,9180,09/12/2022,
"Agreeya Solutions, Inc.",10390,20/06/2017,
Visa Inc.,4922,08/03/2024,
Quant Data & Analytics,52370,21/03/2024,
dhatim,4066,02/08/2018,
Roche Diagnostics Corporation,3995,15/12/2015,
Sunrise Medical (UK),5609,14/06/2021,
Eagle Point Credit Management LLC,1610,28/10/2022,
Land Securities Properties Limited,28098,05/04/2022,
Streck LLC,14806,01/04/2021,
Central Bank of Kuwait,4676,20/10/2020,
SPORTING INDEX LTD,6914,09/12/2020,
"Netradyne, Inc.",4156,22/08/2023,
POSITIVE CRM LIMITED.,2552,27/03/2020,
HgCapital LLP,3905,06/06/2021,
"Sheppard Pratt Health System, Inc.",4052,01/09/2017,
U.S. Silica,3500,19/02/2015,
Cambridge Investment Research,3896,30/06/2023,
Accenture Federal Services LLC,2600,01/11/2023,
InsightOne Nordic AB,2655,31/10/2021,
Coeur Mining Inc,0,04/12/2017,
Coca-Cola Bottling Co. Consolidated,17500,31/03/2015,
Synthes GmbH,45000,18/03/2019,
TOTALENERGIES GAS & POWER ASIA PRIVATE LIMITED,4279,24/11/2023,
Commonwealth Securities Limited,4826,01/03/2018,
Mecum Auction Inc.,0,25/06/2018,
Challenger Motor Freight,9693,29/07/2020,
QUEENSLAND TREASURY CORPORATION,24632,08/10/2021,
"Rockwell Automation, Inc.",7793,14/06/2022,
MCNAUGHTON-MCKAY ELECTRIC CO.,76811,22/05/2022,
"Pier 1 Imports, Inc.",6919,23/09/2016,
EECU Credit Union,22225,28/11/2019,
Banco Santander (México) S.A.,202503,01/12/2022,
McLane Company,10390,16/05/2022,
CARATLANE TRADING PRIVATE LIMITED,3896,10/06/2024,
"Expedia, Inc.",14027,18/10/2019,
NIPPON CATERPILLAR LLC.,9249,16/01/2023,
FIL INVESTMENT MANAGEMENT LTD,4043,17/06/2024,
Stuart Wild,2593,31/12/2020,
"BayCare Health System, Inc.",15980,28/02/2017,
Proquire LLC,30489,17/05/2019,
"VF Services, LLC",261496,26/03/2016,
Nabler LLC,5195,14/05/2022,
THE EUROPEAN BANK FOR RECONSTRUCTION AND DEVELOPMENT,251030,15/01/2021,
King Abdullah bin Abdulaziz University Hospital,68185,10/01/2021,
"Whole Foods Market Services, Inc.",30000,26/06/2017,
Fox Corp,15585,14/10/2022,
"Xtime, Inc.",18772,31/12/2019,
Trilations NV,0,16/03/2019,
Deloitte Statsautoriseret Revisionspartnerselskab,1998,04/12/2018,
"Risksmith, Ltd.",5195,06/04/2023,
Cox Communications Inc.,16990,01/06/2015,
Texas Mutual Insurance Company,115625,01/11/2021,
UNIVERSITY OF NOTTINGHAM (THE),3415,30/06/2023,
Elasticsearch Inc.,4914,27/06/2016,
Chama Technologies BV,7793,12/02/2018,
Denali Alaskan Federal Credit Union,3995,28/10/2016,
COLORANTS INTERNATIONAL AG,6123,01/11/2021,
Martin Marietta Materials Inc,398831,12/06/2024,
JCDecaux UK,1914,27/09/2016,
Cognizant Technology Solutions India Pvt Ltd.,3896,10/09/2021,
Australian Postal Corporation,5229,15/02/2022,
Kemper Corporate Services Inc.,15585,01/04/2023,
Transport for NSW,10458,27/01/2022,
Levi Strauss & Co.,20780,10/03/2021,
Truist Financial Corporation,5039,15/08/2019,
"NISSAN MOTOR CO.,LTD.",13377,27/07/2021,
BOC International Holdings Limited,55720,03/06/2019,
Toyota Motor Sales USA Inc,4964,29/11/2021,
Bluefin Payment Systems,5195,17/12/2022,
AB Inbev,13819,16/11/2021,
Buspatrol America LLC,4552,28/05/2021,
Novelis Inc.,20780,30/07/2022,
Churchill Asset Management LLC,28988,18/12/2021,
Teachers Insurance and Annuity Association,277920,30/11/2018,
Lennox International Inc.,4156,07/12/2020,
"Point32Health, Inc.",15585,20/10/2022,
OPAL PACKAGING AUSTRALIA PTY LTD,5674,11/01/2022,
NORTHERN TRUST MANAGEMENT SERVICES LIMITED,61728,19/01/2020,
Biz Travel Solutions LLC,7673,01/07/2018,
"DuPont Specialty Products USA, LLC",9724,15/10/2022,
"Source Marketing, DBA Doner Cx",33990,27/03/2016,
PANASONIC CORPORATION JAPAN,3727,29/03/2023,
Thomas Cook AG,3818,17/07/2017,
Knowit Solutions Oy,2500,26/03/2018,
Raytheon Company,6182,28/02/2022,
GEA Group AG,77811,01/01/2022,
Kimberly-Clark Global Sales LLC,2300,23/11/2020,
"RECRUIT LIFESTYLE CO., LTD.",3960,19/02/2022,
Johnson & Johnson,27076,15/12/2017,
Nordea Markets Denmark,33558,05/11/2015,
HALFORDS GROUP PLC,3511,02/05/2018,
Element Care Inc.,0,01/01/2018,
BRITISH SKY BROADCASTING GROUP PLC,4217,29/09/2017,
Johnson & Johnson,33972,29/08/2016,
Hartalega NGC Sdn Bhd,4831,01/07/2024,
"Cadence Design Systems, Inc.",10390,21/06/2023,
"Data Axle, Inc.",22090,23/06/2023,
"Securian Financial Group, Inc",34547,21/03/2023,
The Quantium Group Pty Ltd,16471,24/06/2020,
"Black Knight Holdings, Inc.",7065,03/10/2020,
Säveltäjäin Tekijänoikeustoimisto Teosto ry,9468,31/03/2021,
KraussMaffei Technologies GmbH,5365,09/07/2021,
RAMIRENT SHARED SERVICES AS,12623,27/12/2021,
Hermes Parcelnet Ltd,12060,30/10/2019,
111 SKIN LTD,4481,08/10/2023,
"Delek US Energy, Inc",15585,30/07/2021,
Brown-Forman,6236,27/07/2018,
Sukoon Insurance PJSC,0,30/09/2022,
INSA Consulting/Analytics10-CH,2500,15/04/2015,
Boston Scientific Corporation,49980,27/06/2021,
CO-OPERATIVE GROUP LIMITED,16848,22/05/2017,
COMERICA BANK,4961,17/11/2021,
Trane Technologies Company LLC,29608,20/05/2014,
"Great Southern Homes, Inc.",6959,25/03/2022,
Bell Media Inc,5772,15/10/2019,
Pension Services Corporation Ltd.,26171,10/02/2020,
MENDES CUNHA,2576,25/03/2022,
Baxter Healthcare Corporation,46755,12/07/2022,
"Regional Municipality Of York, The",4416,01/02/2017,
H&M Hennes & Mauritz GBC AB,3820,01/06/2019,
"Citizens Disability, LLC",5500,30/12/2016,
"Shake Shack Enterprises, LLC",0,15/08/2018,
Modec Serviços de Petróleo do Brasil Ltda.,16949,18/01/2017,
"General Atlantic Service Company, L.P.",10364,08/06/2023,
Di Squared LLC,2500,21/06/2019,
Lycetts,7481,04/09/2017,
The Klw Group,1295,22/07/2016,
THE SYMPHONY GROUP PLC,4937,01/03/2024,
MONOPRIX,6760,31/12/2021,
Commonwealth Bank of Australia,2616,02/12/2016,
Concentra Sourcing LLC,4805,21/11/2020,
BRITISH BROADCASTING CORPORATION,2808,02/06/2016,
FIL India Business and Research Services Pvt. Ltd,34985,17/12/2021,
DBS Bank (Hong Kong) Limited,10405,10/11/2021,
Lincoln Financial Group,5039,12/12/2020,
"Delhaize America, Inc.",4102,11/06/2018,
Prealize Health,135548,27/02/2023,
Viva Energy Australia Pty Ltd,0,20/11/2018,
The Options Clearing Corporation,126439,26/12/2019,
"Amazon.com Services, Inc.",3969,02/06/2022,
Cherry Creek School District,4228,31/03/2017,
Kiewit Corporation,3995,29/12/2018,
"Ibotta, Inc.",4416,23/03/2024,
"ZS Associates, Inc.",4839,10/09/2020,
"Williams-Sonoma, INC.",6013,09/01/2021,
Fractal Analytics Private Limited,8832,11/04/2020,
Marlin Business Services Corp.,5195,03/01/2020,
Verizon Communications Inc.,4217,04/04/2022,
Woodmark Consulting AG,2622,30/11/2019,
Bayer AG,5454,01/02/2023,
Transport for NSW,5094,12/04/2016,
Fidelity Investments,29767,09/05/2022,
Voluntas Advisory ApS,3502,30/09/2019,
Manpowergroup Inc.,21006,18/11/2019,
Data Technology Ltd,2613,01/05/2019,
Bank of America,4676,17/08/2018,
Ernst & Young U.S. LLP,5865,21/06/2024,
Flagstar Bancorp,3619,26/05/2022,
Lendlease Management Services Limited,4331,18/10/2019,
Ryder Integrated Logistics,23970,28/09/2018,
"Milliman, Inc.",14806,21/04/2023,
Copernica Inc. (dba Amplifier),5195,04/11/2022,
BNP Paribas SA - Finance Group,618919,31/03/2020,
"Xilinx, Inc.",14884,25/05/2022,
Amgen Inc.,3995,18/10/2019,
Lux Actuaries & Consultants FZCO,4156,08/06/2024,
Superior Plus LP,5885,21/12/2020,
ORCHARD STREET INVESTMENT MANAGEMENT LLP,3511,26/09/2022,
"Dun and Bradstreet, Inc.",10078,18/09/2018,
MSD K.K.,13818,31/08/2021,
AMP SERVICES LIMITED,5973,28/09/2021,
"Lowe's Companies, Inc.",908012,30/09/2018,
PerkinElmer U.S. LLC,9848,18/10/2021,
METRO NORTH HOSPITAL AND HEALTH SERVICE,3365,10/01/2019,
Denso Europe B.V.,4717,25/07/2022,
"BNP PARIBAS ASSET MANAGEMENT Europe, Belgian Branch",69910,31/03/2023,
University of Sydney,7795,03/10/2019,
Matpriskollen,5365,01/07/2021,
Carthage College,4167,21/01/2022,
"Smithco Development, LLC",1295,29/01/2014,
Vertiv Group Corporation dba Vertiv Co.,20780,04/05/2023,
Regions Bank,34621,17/04/2017,
Australian Leisure & Hospitality Group,5219,28/03/2023,
Gadberry Group LLC,11985,27/03/2015,
Lendlease Management Services Limited,8631,22/11/2020,
"General Services Administration, US",4676,03/06/2024,
Universal Music A/S,3377,30/03/2017,
Bridgewater Associates L.P.,335000,25/11/2016,
ATM2 LIMITED,4952,31/05/2024,
MAZDA MOTOR CORPORATION,3117,29/11/2018,
The Estee Lauder Companies Inc,4922,01/11/2023,
A.S. Watson (Health & Beauty Continental Europe) B.V.,5693,01/09/2023,
CAS/American Chemical Society,5263,27/12/2017,
ICA Gruppen AB,9750,24/02/2015,
Collins Aerospace,23380,01/11/2023,
Rogers Communications Canada Inc,5702,26/09/2020,
"MITSUI & CO., LTD.",4156,01/12/2020,
Fidelity Investments,4282,26/12/2019,
"RECRUIT JOBS CO.,LTD.",3117,29/09/2017,
Modec Serviços de Petróleo do Brasil Ltda.,53455,23/02/2023,
LPL Financial LLC,14580,05/11/2021,
Goodrich Actuation Systems Ltd.,4766,24/10/2023,
JERSEY AVS CORPORATE SERVICES LIMITED,9468,21/07/2021,
Deloitte LLP,20978,31/10/2018,
"CITY, UNIVERSITY OF LONDON",9336,28/03/2019,
Candid Group B.V.,2187,27/03/2015,
DePuy Synthes Johnson & Johnson Ireland Ltd,19340,01/05/2018,
Columbia Sportswear Co.,11845,01/03/2023,
"Chick-fil-A, Inc.",3993,18/07/2017,
"Alight (us), LLC",5335,16/12/2015,
Adenza,7793,30/06/2022,
Brighthouse Financial LLC,56690,31/07/2020,
"Installed Building Products, Inc.",4935,11/01/2022,
"Godfather's Pizza, Inc",1295,09/01/2017,
JUSTEAT ITALY SRL,18936,28/09/2021,
STANDARD CHARTERED BANK - SG,9944,12/08/2021,
AMAP,5649,21/09/2023,
NATIONAL AUSTRALIA BANK LIMITED,342137,30/06/2022,
"L & F Distributors, LLC",9356,29/03/2020,
"Clear Channel Outdoor, LLC",7605,31/12/2013,
ANTHESIS (UK) LIMITED,8720,18/09/2019,
Osborn,4156,15/12/2021,
Apple Inc.,10078,24/11/2017,
"Wawa, Inc.",10182,31/03/2023,
"Verizon Wireless, Inc.",0,30/06/2018,
Marathon Petroleum Company LP,5039,15/10/2018,
Raytheon Company,15201,14/02/2023,
Global Bank Corporation,7403,03/02/2022,
Massmart,4156,14/09/2017,
Frontline Managed Services,8312,20/01/2023,
"Mitchell International, Inc.",30651,21/07/2023,
Menora Mivtachim Holdings Ltd,5195,07/03/2024,
"loanDepot.com, LLC",16575,03/05/2024,
Cannara Biotech (Quebec) Inc.,5083,25/06/2020,
ComeOn,7884,27/09/2019,
Sartorius Stedim SSB,5195,26/08/2023,
Jpmorgan Chase & Co,0,19/09/2017,
Homeserve USA Corp,37513,15/12/2022,
Lendlease Management Services Limited,2013,31/08/2016,
Johnson & Johnson,11604,18/08/2018,
Health Advances LLC,5091,10/12/2021,
Global Bank Corporation,3896,01/06/2021,
"B3 S.A. - BRASIL, BOLSA, BALC?O",11523,25/09/2020,
Verizon Communications Inc.,8368,06/05/2024,
Rodonaves Transportes e Encomendas Ltda,3282,10/05/2024,
Baker & McKenzie Amsterdam N.V.,24447,15/04/2019,
TRUESTAR ACTIVATION K.K.,2397,26/01/2018,
Everton Football Club,3238,19/08/2019,
"MORRISON EXPRESS CORP., LTD.",0,02/07/2018,
Fetim B.V. / Services,5897,25/04/2022,
Jpmorgan Chase & Co,5038,10/08/2017,
Public Health Wales NHS Trust,37600,01/01/2022,
Specsavers Optical Group Limited,65007,01/03/2018,
The Bank of Nova Scotia,10878,28/09/2023,
"CCI Corporate Services, LLC",23661,28/12/2020,
"ACCO BRANDS, INC.",5195,03/05/2021,
Harley-Davidson Inc.,19975,07/12/2018,
Westpac Banking Corporation,41752,01/05/2023,
"Healthtrust Purchasing Group, LP",4812,01/09/2021,
Advanced Analytic Services Limited,1000,15/03/2020,
Spencer Stuart,10390,16/04/2022,
ASTELLAS PHARMA INC.,12437,01/08/2023,
"Seer Analytics, LLC",35597,08/12/2017,
VERTEX PHARMACEUTICALS INC.,25975,23/12/2023,
"TOKYO ELECTRIC POWER COMPANY HOLDINGS, INC.",23192,15/04/2024,
PEARSON PLC,5852,30/04/2018,
University of Michigan,0,01/07/2024,
TE Connectivity Corporation,12468,07/12/2018,
"Itron, Inc.",2797,04/01/2018,
Infoblox Inc.,5195,01/08/2022,
General Motors Company,5038,29/09/2016,
CFGI,7773,27/04/2022,
Australian Postal Corporation,6236,31/07/2018,
Pepsico International Spain,10507,23/04/2019,
The Coca-Cola Company,20780,14/12/2019,
"Apex Tool Group, LLC",16382,29/12/2017,
Cognitive Contractor LTD,0,01/01/2019,
Fidelity Investments,5039,21/09/2020,
Produce Pay Inc.,4156,06/07/2023,
"PERMANENT GENERAL COMPANIES, INC.",60000,28/02/2017,
NBN CO LIMITED,124720,01/10/2018,
Alamance County Area Chamber of Commerce,763,11/06/2014,
HELSINN BIREX PHARMACEUTICALS LIMITED,4128,24/01/2022,
Thermo Fisher Scientific Inc.,4961,05/08/2022,
Peter Appel Transport B.v.,4398,09/03/2021,
Newell Brands Inc.,5195,08/07/2019,
Electricity North West Services Ltd,7373,07/11/2017,
AGL Sales Pty Limited,35076,09/01/2023,
Luminant,2797,21/03/2016,
Lendlease Management Services Limited,3464,11/10/2019,
"Autodesk, Inc.",5160,26/03/2020,
FUJITSU SERVICES (ENGINEERING SERVICES) LIMITED,26700,29/04/2016,
Connectbase,49385,01/02/2018,
"Media Markt Saturn Administracion Espana, S.A. UNI",6123,02/07/2021,
City of Houston,3637,05/08/2017,
"National Oilwell Varco, L.P.",26650,30/09/2021,
DIGITAL DSN BI,6169,11/10/2018,
Verizon Communications Inc.,4283,05/08/2019,
Direct Line Insurance Services Ltd,134703,31/12/2022,
Bonnier News Group AB,5593,29/09/2015,
Charles Tyrwhitt Shirts Ltd.,5195,18/12/2020,
FIL INVESTMENT MANAGEMENT LTD,16188,04/03/2020,
Westpac Banking Corporation,5436,17/11/2020,
TD Insurance,16216,29/04/2019,
Quorum Software,12468,30/09/2023,
"Southern Glazer's Wine and Spirits, LLC",3995,08/12/2014,
Pfizer Inc.,11604,01/07/2017,
Exxonmobil Global Services Company,10390,28/08/2023,
Baker Hughes Oilfield Operations LLC,4676,01/07/2023,
"Invesco, Ltd.",5039,13/06/2017,
Dialog Direct,315996,30/12/2016,
"Charter Communications Operating, LLC",730936,15/06/2022,
The Toronto-Dominion Bank,20780,01/12/2018,
Esusu Financial Inc,17663,31/01/2023,
"Lego Systems, Inc.",5195,26/04/2020,
Alvin Community College,1295,17/09/2015,
Streck LLC,1333,30/09/2016,
Fidelity Investments,758986,14/12/2020,
Exxonmobil Global Services Company,5195,12/03/2023,
COSTA LTD,14146,31/10/2023,
AssistRx,24611,30/09/2023,
"BOKF, NA",13715,29/10/2021,
DENTSU MACROMILL INSIGHT INC.,6505,30/06/2023,
Deseret Mutual Benefit Administrators,9647,13/04/2020,
Merchant Wealth Partners,3896,21/08/2023,
Titan Corporation,10910,08/09/2022,
"Amazon.com Services, Inc.",3969,28/01/2022,
"Skyworks Solutions, Inc.",130925,31/12/2023,
Continental Battery Company,4961,23/12/2022,
"DPS Holdings, Inc.",4935,24/10/2022,
Mosaic Medical,3564,22/11/2023,
Sirius XM Radio Inc.,118295,24/12/2018,
"UMG Recordings, Inc.",4987,18/11/2021,
UNIVERSITY OF WEST LONDON,2394,07/10/2019,
"Amazon.com Services, Inc.",11907,23/06/2022,
Bridgestone Europe NV,9494,17/12/2020,
"Anytime Fitness, LLC",1043,,
"General Mills, Inc",4922,20/09/2023,
FAA - Office of Finance (AFN),4676,06/01/2022,
EKORNES LIMITED,5030,03/04/2023,
Genpact,3818,11/09/2023,
"Charles Schwab & Co., Inc.",45000,18/11/2015,
DANONE,0,27/02/2019,
The Toro Company,28053,19/12/2021,
Simmons Prepared Foods Inc.,3995,30/09/2018,
Vital Worklife Inc,7533,06/05/2023,
GENERAL SECRETARIAT OF THE EXECUTIVE COUNCIL (ABU DHABI),21784,21/06/2020,
STI Technologies,129707,01/12/2021,
BAE SYSTEMS  SERVICES LIMITED,13911,30/05/2020,
"JAPAN PETROLEUM EXPLORATION CO.,LTD.",34104,01/11/2023,
"Elevance Health, Inc.",5039,09/03/2021,
Farouq & Maamoun Mohammed Said Tamer Industries Holding Company,6500,01/01/2023,
GODREJ AND BOYCE MANUFACTURING COMPANY LIMITED,7793,04/05/2023,
Kaizen Auto Group Ltd,6119,30/11/2021,
Crusoe Energy Systems LLC,4775,15/07/2023,
"Charter Communications Operating, LLC",5039,17/02/2020,
L'OREAL IT,21235,21/02/2022,
Berkshire Partners LLC,9723,23/04/2020,
KingSett Capital Inc,5861,21/06/2019,
Exxonmobil Global Services Company,5195,03/10/2024,
Mylan Inc.,4676,15/04/2022,
The Hershey Co.,4172,28/02/2022,
"Amazon.com Services, Inc.",10809,03/10/2019,
"Economic Modeling, LLC",15585,01/11/2018,
Mastercard Incorporated,0,31/01/2018,
"Hillwood Enterprises, L.P.",7481,19/02/2020,
Commonwealth Bank of Australia,4313,01/02/2019,
Unifund Corporation,3995,24/11/2014,
Linde Inc.,86640,20/12/2019,
Equifax Inc.,46755,29/04/2021,
Volvo Car Corporation,23986,07/01/2022,
Rogers Communications Canada Inc,5685,26/07/2019,
"Go Car Wash Management, Corp.",8771,10/12/2021,
St. Joseph Health Systems,20780,24/02/2019,
Otsuka America Pharmaceutical Inc,4961,29/11/2022,
ITV Services Ltd,4999,01/07/2019,
Manor AG,53900,26/03/2014,
Verizon Communications Inc.,4217,11/05/2022,
"Mitchell & Titus, LLP",3637,15/11/2021,
Jathwa Technology Company,2387,31/07/2019,
Mackenzie Financial Corporation,23013,01/10/2023,
Deloitte Statsautoriseret Revisionspartnerselskab,520,23/11/2016,
The Sherwin-Williams Company,5039,01/07/2021,
CTBS,3896,05/06/2023,
Human Data Associates,2809,20/01/2020,
Ocean Bank,21637,04/01/2024,
"Spring Venture Group, LLC (SVG)",5195,16/08/2021,
KUBOTA CORPORATION,3117,01/07/2017,
"Charter Communications Operating, LLC",5039,18/06/2021,
Gutchess Lumber Company,21177,15/11/2016,
NIKKO GLOBAL WRAP LTD.,6472,22/06/2020,
Accenture Inc.,30200,04/05/2017,
Dell USA L.P,6160,17/06/2021,
Yara International ASA,0,14/03/2018,
"Informative Research, Inc.",25024,31/05/2022,
"Staples, Inc.",4532,05/07/2022,
NN Insurance Eurasia N.V,0,12/10/2018,
Colgate Energy LLC,14806,16/07/2021,
"METRO KESH END KERRI IMPORT, OOO",8801,22/12/2017,
Australian Postal Corporation,6236,30/07/2018,
United States Securities & Exchange Commission,8884,03/09/2020,
DELA,16666,30/03/2022,
"Leidos, Inc.",7990,30/03/2018,
Kingfisher International Products Limited,9274,23/08/2020,
Oxford University Press,4092,23/07/2020,
Air Canada,4239,01/03/2017,
Marisa Lojas S/A,5296,30/12/2021,
DIRECT LINE INSURANCE GROUP PLC,92333,31/12/2019,
"Integrated Direct Marketing, LLC",155030,01/01/2019,
"Micro Focus (us), Inc.",5039,28/06/2019,
MCM CPA's Advisors LLP,23188,07/11/2022,
"Koch Capabilities, LLC",9922,29/04/2022,
Lendlease Management Services Limited,106436,27/10/2021,
Latam Trade Capital SA,4871,22/07/2021,
Jeudan A/S,4160,29/06/2023,
Collinson (Central Services) Limited,102000,22/12/2016,
